date,co2,no_co2,spinup
016412,3.6724635983e-05,2.88070040796e-05,2.59013658767e-05
016501,3.49126052894e-05,2.74808164171e-05,2.47008282946e-05
016502,3.41954897658e-05,2.66076006607e-05,2.38991149162e-05
016503,3.47696254514e-05,2.68723404784e-05,2.4100594649e-05
016504,3.63589167819e-05,2.8181366275e-05,2.51692325082e-05
016505,4.21075534855e-05,3.24655542701e-05,2.88016798985e-05
016506,4.9666970616e-05,3.85866657637e-05,3.50787570362e-05
016507,5.4218001611e-05,4.22717208731e-05,3.87739337166e-05
016508,5.49925583979e-05,4.21795351507e-05,3.89588482193e-05
016509,5.20056006925e-05,3.96335348837e-05,3.66363440442e-05
016510,4.82950774936e-05,3.7311703696e-05,3.41781537413e-05
016511,4.29821857572e-05,3.33396931183e-05,3.02763950538e-05
016512,3.71360301782e-05,2.92674794875e-05,2.62320754219e-05
016601,3.51113225291e-05,2.78081032565e-05,2.48915154721e-05
